description,issue_type,key,labels,summary
"Appears to have been introduced in 6562d10a6652aa6a948c549bdf746579cced1111.

{code}
☂ : git co 6562d10a6652aa6a948c549bdf746579cced1111
Previous HEAD position was 43e2c93... Merge pull request #5498 from prometheanfire/enable_portage_options
HEAD is now at 6562d10... (PUP-7042) Mark strings in util
[0] root@ubuntu16:puppet ((no branch, bisect started on 1b04bec))
☂ : be puppet master --no-daemonize
File: /root/puppet/.bundle/ruby/2.3.0/gems/fast_gettext-1.1.0/lib/fast_gettext/vendor/empty.mo: Permission denied @ rb_sysopen - /root/puppet/.bundle/ruby/2.3.0/gems/fast_gettext-1.1.0/lib/fast_gettext/vendor/empty.mo (Errno::EACCES)
☂ : git co HEAD~
Previous HEAD position was 6562d10... (PUP-7042) Mark strings in util
HEAD is now at 43e2c93... Merge pull request #5498 from prometheanfire/enable_portage_options
[0] root@ubuntu16:puppet ((no branch, bisect started on 1b04bec))
☂ : be puppet master --no-daemonize
Warning: The WEBrick Puppet master server is deprecated and will be removed in a future release. Please use Puppet Server instead. See http://links.puppetlabs.com/deprecate-rack-webrick-servers for more information.
   (at /root/puppet/lib/puppet/application/master.rb:210:in `main')
{code}

",Bug,PUP-7653,[],`puppet master` broken on puppet/master
"The ""catalog_uuid_correlates_catalogs_with_reports"" test inspects the serialized content of the ""catalog_uuid"" field in the {{Puppet::Transaction::Report}} that the master stores.  The test expects the value for the ""catalog_uuid"" field to [not be quoted|https://github.com/puppetlabs/puppet/blob/3deda986fcbdf62fe9c3880d3a6c7b91b5122ed3/acceptance/tests/direct_puppet/catalog_uuid_correlates_catalogs_with_reports.rb#L19].  With MRI Ruby 2.3.2 and later (and with JRuby 9.1.9.0, which emulates Ruby language version 2.3.3), some string-based UUID values are serialized to yaml with single quotes around them.

On Ruby 2.3.1, for example, the following value is serialized without any surrounding quotes:

{noformat}
› ruby -ryaml -e ""puts '03080442-0449-43cb-8ec2-f26658f958ac'.to_yaml""
--- 03080442-0449-43cb-8ec2-f26658f958ac
{noformat}

On Ruby 2.3.2, however, the same command from above results in a value wrapped with single quotes:

{noformat}
› ruby -ryaml -e ""puts '03080442-0449-43cb-8ec2-f26658f958ac'.to_yaml""
--- '03080442-0449-43cb-8ec2-f26658f958ac'
{noformat}

Note that this only happens in Ruby 2.3.2+ with some values.  For example, the following is produced under Ruby 2.3.2 and later:

{noformat}
› ruby -ryaml -e ""puts 'caaf2053-7398-410f-8ede-407bbe934162'.to_yaml""
--- caaf2053-7398-410f-8ede-407bbe934162
{noformat}

While the difference in serialized output between the Ruby versions is odd, I'm not sure that it's technically a ""bug"" in that the source value for the {{catalog_uuid}} is a string and characters like ""-"" arguably could warrant quoting whenever they are serialized out to yaml.

For this ticket, I think we should just update the catalog_uuid_correlates_catalogs_with_reports.rb test to handle both the presence or absence of surrounding single quotes the same.  This should enable the test to pass consistently when run with a Puppet Server master running JRuby 9k under Ruby language version 2.3.2+.",Task,PUP-7652,[],Update catalog_uuid acceptance test for Ruby yaml serialization changes
"Devices should be able to handle the notify resource. For instance:

Given this manifest:
  node 'pe-201652-master' {
    include f5
  }

  node 'bigip' {
    notify {""TJK"": }

    f5_virtualserver { '/Common/puppet_vs':
	  ensure                     => 'present',
	  provider                   => 'standard',
	  description                => 'Hello World',
	  destination_address        => '10.20.30.40',
	  destination_mask           => '255.255.255.255',
	  http_profile               => '/Common/http',
	  service_port               => '443',
	  protocol                   => 'tcp',
	  source                     => '0.0.0.0/0',
	  source_address_translation => 'automap',
    }
  }

We don't see any notify output:
  [root@pe-201652-master manifests]# puppet device -v --user=root
  Info: starting applying configuration to bigip at https://54.244.180.9:443/
  Info: Using configured environment 'production'
  Info: Retrieving pluginfacts
  Info: Retrieving plugin
  Info: Caching catalog for bigip
  Info: Applying configuration version '1497281724'
  Notice: Applied catalog in 3.12 seconds

Can we add notify to the list of supported resources for devices?",New Feature,PUP-7651,[],The Notify Resource for Devices
"A load of a resource type will _sometimes_ create a {{Puppet::Pops::Loader::TypedName}} that starts with an uppercase letter. When this name is used in order to find a type generated with {{puppet generate types}}, it isn't found. Since it's not found, a load of the Ruby type is performed instead, which results in an ""Attempt to redefine entity"" error when that a successful load of the generated type has been performed earlier (with a {{TypedName}} that didn't start with an uppercase letter).",Bug,PUP-7650,[],"""Attempt to redefine entity"" caused by upper/lower case name confusion in Loader"
"{{ci:test:git}} won't correctly run the pre-suite against OSX 10.11 due to:

* locations of binaries - and the PATH setup (for an appropriate fix BKR-1139 needs to be released)
* some binary path installation issues as a result of SIP (System Integrity Protection)

The invocation under test is:

{noformat}
GEM_SOURCE=http://rubygems.delivery.puppetlabs.net/ TEST_TARGET=osx1011-64a PUPPET_FORK='Iristyle' bundle exec rake ci:test:git SHA=`git lastref` TEST=./tests/direct_puppet/supports_utf8.rb
{noformat}

This effort was taken on to repro PUP-6217",Improvement,PUP-7648,"['ci', 'osx', 'tech-debt']",Fix ci:test:git pre-suite on OSX 10.11
"In addition to rolling its own CA, the Puppet infrastructure should be able to use SCEP to request certificates from a pre-existing PKI infrastructure to easily support Enterprise PKI Policies.",New Feature,PUP-7647,[],All Puppet components should support SCEP
"h1.  The Problem

I'd like to set `environment_timeout = unlimited` for my production environment and any other long lived environments I may have.  

I'd like all of my feature branch environments to have a much lower environment_timeout so they do no consume memory long after I've stopped using them.  

Since environment.conf is in my control-repo I cannot change environment_timeout to a different value without eventually causing that value to become a merge conflict.  

h1.  Suggested Solution

I should be able to set environment_timeout ( and possibly other puppet.conf settings ) for an environment in a file outside of the environment.  

The environment sections in puppet.conf would have probably been fine if they hadn't been removed when directory environments were introduced.  

https://docs.puppet.com/puppet/3.5/config_file_main.html#environment-config-sections",Bug,PUP-7646,[],Environment_timeout should be configurable per environment but not from a file inside of the environment
"We do not currently commit any MO files to the Puppet repo: they are built in vanagon packaging and installed along with the Agent. If we want to support i18n in the Puppet gem, we need to make sure we compile these files during gem packaging as well. Alternatively, we need to revisit the decision to not commit these files.

*UPDATE* The easiest solution may be to use PO files instead of MO files when running from source or as a gem.

If translations are not going to be supported when using the Puppet gem, this ticket can be closed.",Task,PUP-7645,[],Ensure that translations are available in released puppet gems
"Given that pyton3 and pip3 are installed in the machine already I'm declaring the boto3 package as follows:
{code}
  package { 'boto3':
    ensure => present,
    provider => 'pip3',
  }
{code}
The issue is that when you run puppet for the first time you get:
{code}
{""level"":""debug"",""message"":""Executing '/bin/pip3 freeze'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:22:58.058603923+
00:00""}
{""level"":""debug"",""message"":""Executing '/bin/pip3 --version'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:22:58.7344189
24+00:00""}
{""level"":""debug"",""message"":""Executing '/bin/pip3 freeze'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:22:59.317146692+
00:00""}
{""level"":""debug"",""message"":""Executing '/bin/pip3 --version'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:22:59.9823109
65+00:00""}
{""level"":""debug"",""message"":""Executing: '/bin/pip install -q boto3'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:23:00.569312158+00:00""}
{code}
and when you run it the second time it works as expected:
{code}
{""level"":""debug"",""message"":""Executing '/bin/pip3 freeze'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:39:50.080139315+
00:00""}
{""level"":""debug"",""message"":""Executing '/bin/pip3 --version'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:39:50.7515434
28+00:00""}
{""level"":""debug"",""message"":""Executing '/bin/pip3 freeze'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:39:51.332423254+
00:00""}
{""level"":""debug"",""message"":""Executing '/bin/pip3 --version'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:39:51.9972545
96+00:00""}
{""level"":""debug"",""message"":""Executing: '/bin/pip3 install -q boto3'"",""source"":""Puppet"",""tags"":[""debug""],""file"":null,""line"":null,""version"":1,""@timestamp"":""2017-06-08T14:39:52.586167287+00:00""}
{code}
The above happens without making any change at all in the environment between puppet runs.

culprit has to be in https://github.com/puppetlabs/puppet/blob/4.10.1/lib/puppet/provider/package/pip3.rb ￼ which basically imports https://github.com/puppetlabs/puppet/blob/4.10.1/lib/puppet/provider/package/pip.rb

Also, a collaborator posted this answer:
	
Following the stack trace within the code, I would blame this: https://github.com/puppetlabs/puppet/blob/4.10.1/lib/puppet/provider/package/pip.rb#L129 It should probably be pip_cmd. You certainly have enough to file an issue on the JIRA at this point though. – Matt Schuchard",Bug,PUP-7644,[],puppet installing pip rather than pip3 packages using the pip3 provider only on the first run
"Acceptance tests expecting catalog application notices to return array elements are now failing due to language changes that return arrays in bracketed notation.

Example error:
{code}
Expected /ip changed 'ip.if.1:1.1.1.1'.* to .'ip.if.1:1.1.1.1', 'ip.if.2:1.1.1.2'./ to match ""\e[mNotice: Compiled catalog for sviz1kae5v49d6z.delivery.puppetlabs.net in environment production in 0.04 seconds\e[0m\n\e[0;32mInfo: Applying configuration version '1496988604'\e[0m\n\e[mNotice: /Stage[main]/Main/Zone[tstzone]/ip: ip changed ip.if.1:1.1.1.1 to ['ip.if.1:1.1.1.1', 'ip.if.2:1.1.1.2']\e[0m\n\e[mNotice: Applied catalog in 0.17 seconds\e[0m\n"".
{code}

[Job link|https://jenkins-master-prod-1.delivery.puppetlabs.net/view/puppet-agent/view/master/view/Suite/job/platform_puppet-agent_intn-van-sys_suite-daily-puppet-master/]",CI Blocker,PUP-7643,[],acceptance tests fail recieving bracket array values
"When an agent that deals with custom rich-data types (Objects) sends a report to the server, the server will not have a correct environment/loaders configured to instantiate the values that are contained in the report events. It currently does, which results in an error.

The desired behavior is to retain the hash that is the result of serializing such objects.
",Bug,PUP-7642,[],A Report containing rich-data should allow presence of unresolved custom types.
